176,0,0,259.20000000002466
192,101,259.20000000002466
176,10,37,259.4500000000247
144,53,53,0.661134750782,259.4500000000247
144,51,0,0.0001,259.55000000002474
176,10,35,259.8000000000248
144,53,46,0.681314022779,259.8000000000248
144,51,0,0.0001,259.8500000000248
144,53,0,0.0001,260.1500000000249
176,10,34,260.3000000000249
144,53,48,1.03223610943,260.3000000000249
144,53,0,0.0001,260.85000000002503
176,10,34,261.2500000000251
144,51,62,1.89344745954,261.2500000000251
144,53,0,0.0001,262.20000000002534
176,10,36,264.00000000002575
144,55,66,3.97120646862,264.00000000002575
176,10,39,264.90000000002595
144,58,53,1.58182020289,264.90000000002595
144,51,0,0.0001,265.25000000002603
144,55,0,0.0001,265.6000000000261
176,10,38,265.80000000002616
144,60,50,1.65737612385,265.80000000002616
144,58,0,0.0001,266.60000000002634
176,10,40,267.10000000002645
144,58,65,2.73144508689,267.10000000002645
176,10,44,267.50000000002655
144,55,73,1.11203306953,267.50000000002655
176,10,46,267.90000000002664
144,53,75,1.10594621556,267.90000000002664
144,58,0,0.0001,268.2500000000267
176,10,51,268.2500000000267
144,51,73,0.983565223824,268.2500000000267
144,60,0,0.0001,268.5500000000268
144,55,0,0.0001,268.6500000000268
176,10,54,268.90000000002686
144,46,66,1.74101908606,268.90000000002686
144,53,0,0.0001,268.90000000002686
176,10,59,269.75000000002706
144,43,66,2.00892108369,269.75000000002706
144,51,0,0.0001,270.0000000000271
144,46,0,0.0001,270.95000000002733
176,10,54,271.05000000002735
144,53,71,2.63823663762,271.05000000002735
176,10,67,271.95000000002756
144,51,58,1.80391342177,271.95000000002756
176,10,72,272.35000000002765
144,48,55,0.856959073086,272.35000000002765
144,43,0,0.0001,272.40000000002766
176,10,71,272.5500000000277
144,46,52,0.444159200093,272.5500000000277
176,10,70,272.75000000002774
144,46,47,0.46715217479,272.75000000002774
144,48,0,0.0001,272.80000000002775
144,51,0,0.0001,272.85000000002776
144,53,0,0.0001,272.9000000000278
176,10,69,273.0000000000278
144,46,43,0.480254712853,273.0000000000278
144,46,0,0.0001,273.0500000000278
176,10,68,273.15000000002783
144,46,44,0.342938034574,273.15000000002783
144,46,0,0.0001,273.25000000002785
176,10,66,273.30000000002786
144,46,46,0.360604626476,273.30000000002786
144,46,0,0.0001,273.3500000000279
176,10,65,273.5000000000279
144,46,49,0.38122624207,273.5000000000279
144,46,0,0.0001,273.5500000000279
176,10,63,273.70000000002796
144,43,53,0.411363812904,273.70000000002796
144,46,0,0.0001,273.70000000002796
176,10,61,273.900000000028
144,43,57,0.446002211557,273.900000000028
144,46,0,0.0001,273.950000000028
176,10,58,274.10000000002805
144,43,62,0.478874966714,274.10000000002805
144,43,0,0.0001,274.15000000002806
176,10,56,274.3500000000281
144,43,71,0.50253968077,274.3500000000281
144,43,0,0.0001,274.4000000000281
176,10,59,274.55000000002815
144,43,78,0.451500933875,274.55000000002815
144,43,0,0.0001,274.6500000000282
176,10,61,274.7500000000282
144,43,85,0.416674660876,274.7500000000282
144,43,0,0.0001,274.8500000000282
144,43,0,0.0001,275.00000000002825
176,10,63,275.00000000002825
144,43,94,0.58027155555,275.00000000002825
176,10,67,275.2500000000283
144,46,98,0.520326230568,275.2500000000283
144,43,0,0.0001,275.35000000002833
176,10,71,275.45000000002835
144,48,96,0.457449243017,275.45000000002835
144,43,0,0.0001,275.5500000000284
144,46,0,0.0001,275.7500000000284
176,10,75,275.80000000002843
144,55,88,0.764570323099,275.80000000002843
144,48,0,0.0001,276.25000000002854
176,10,77,276.25000000002854
144,58,73,0.999447884715,276.25000000002854
144,55,0,0.0001,276.80000000002866
176,10,74,276.9500000000287
144,55,67,1.49784873071,276.9500000000287
176,10,66,277.65000000002885
144,53,73,1.42881800776,277.65000000002885
144,58,0,0.0001,277.7500000000289
144,55,0,0.0001,278.400000000029
176,10,55,278.60000000002907
144,51,91,2.11005435701,278.60000000002907
176,10,56,279.5500000000293
144,48,101,2.17768417901,279.5500000000293
144,53,0,0.0001,279.80000000002934
176,10,58,280.4500000000295
144,46,93,2.37996375672,280.4500000000295
144,51,0,0.0001,280.80000000002957
176,10,64,281.4500000000297
144,48,73,2.53990306743,281.4500000000297
144,48,0,0.0001,281.95000000002983
176,10,71,282.2500000000299
144,48,75,1.7112980613,282.2500000000299
176,10,69,282.90000000003005
144,48,75,1.11530565331,282.90000000003005
144,46,0,0.0001,283.00000000003007
144,48,0,0.0001,283.2000000000301
144,48,0,0.0001,283.40000000003016
176,10,70,283.5000000000302
144,46,72,1.07465116671,283.5000000000302
144,48,0,0.0001,284.0000000000303
176,10,73,284.0500000000303
144,46,73,1.04174583007,284.0500000000303
144,46,0,0.0001,284.5500000000304
176,10,73,284.60000000003043
144,46,82,1.13781584269,284.60000000003043
144,46,0,0.0001,285.20000000003057
176,10,64,285.3500000000306
144,46,88,1.53308823524,285.3500000000306
144,46,0,0.0001,286.1500000000308
176,10,56,286.3000000000308
144,46,53,1.85513134175,286.3000000000308
144,46,0,0.0001,287.25000000003104
176,10,53,287.30000000003105
144,48,67,2.04031546689,287.30000000003105
176,10,61,288.15000000003124
144,51,79,1.64768687535,288.15000000003124
144,46,0,0.0001,288.3500000000313
144,48,0,0.0001,288.9500000000314
176,10,42,289.4000000000315
144,51,63,2.50050295481,289.4000000000315
176,10,53,290.0500000000317
144,48,74,1.32232267344,290.0500000000317
176,10,64,290.5500000000318
144,46,77,1.0841207743,290.5500000000318
144,51,0,0.0001,290.7000000000318
144,51,0,0.0001,290.75000000003183
176,10,71,290.9500000000319
144,43,69,0.887207873864,290.9500000000319
144,48,0,0.0001,291.1500000000319
176,10,78,291.25000000003195
144,43,65,0.647169319692,291.25000000003195
144,46,0,0.0001,291.450000000032
176,10,75,291.600000000032
144,48,63,0.727743758339,291.600000000032
144,43,0,0.0001,291.600000000032
176,10,72,291.80000000003207
144,48,61,0.402921878096,291.80000000003207
144,43,0,0.0001,292.0000000000321
176,10,71,292.0000000000321
144,48,61,0.412777686887,292.0000000000321
144,48,0,0.0001,292.0500000000321
176,10,71,292.20000000003216
144,48,60,0.417091628872,292.20000000003216
144,48,0,0.0001,292.2500000000322
144,48,0,0.0001,292.4500000000322
176,10,71,292.60000000003225
144,48,63,0.82742203656,292.60000000003225
176,10,74,292.95000000003233
144,48,69,0.716323429532,292.95000000003233
144,48,0,0.0001,293.05000000003236
176,10,78,293.2500000000324
144,48,72,0.590139357053,293.2500000000324
144,48,0,0.0001,293.3500000000324
144,48,0,0.0001,293.55000000003247
176,10,81,293.6000000000325
144,46,74,0.730545200235,293.6000000000325
176,10,83,293.95000000003256
144,46,76,0.642183639098,293.95000000003256
144,48,0,0.0001,294.00000000003257
144,46,0,0.0001,294.2500000000326
176,10,83,294.30000000003264
144,46,78,0.630057931048,294.30000000003264
144,46,0,0.0001,294.6000000000327
176,10,81,294.6500000000327
144,46,81,0.667084740414,294.6500000000327
144,46,0,0.0001,295.0000000000328
176,10,78,295.1000000000328
144,46,83,0.774211759858,295.1000000000328
144,46,0,0.0001,295.4500000000329
176,10,70,295.70000000003296
144,48,85,1.05119027893,295.70000000003296
144,46,0,0.0001,296.20000000003307
176,10,60,296.8500000000332
144,48,86,1.94805550513,296.8500000000332
144,48,0,0.0001,297.6500000000334
176,10,52,298.2000000000335
144,53,80,2.75997246031,298.2000000000335
144,48,0,0.0001,299.65000000003386
176,10,45,299.7500000000339
144,48,68,3.47127795614,299.7500000000339
176,10,56,301.00000000003416
144,51,63,2.918265565,301.00000000003416
144,53,0,0.0001,301.7000000000343
176,10,57,302.20000000003444
144,48,63,2.36759460012,302.20000000003444
144,48,0,0.0001,302.70000000003455
176,10,60,303.3000000000347
144,43,85,2.03442381155,303.3000000000347
144,51,0,0.0001,303.4000000000347
176,10,65,303.55000000003474
144,46,82,0.523894255451,303.55000000003474
176,10,66,303.8000000000348
144,48,78,0.527234999536,303.8000000000348
144,43,0,0.0001,303.8500000000348
176,10,65,304.05000000003486
144,48,75,0.551523270597,304.05000000003486
144,46,0,0.0001,304.10000000003487
144,48,0,0.0001,304.2500000000349
176,10,63,304.3500000000349
144,51,68,0.595709866387,304.3500000000349
144,48,0,0.0001,304.40000000003494
176,10,60,304.650000000035
144,53,63,0.645463175276,304.650000000035
144,48,0,0.0001,304.650000000035
176,10,57,304.85000000003504
144,53,59,0.444219972068,304.85000000003504
144,51,0,0.0001,305.0000000000351
176,10,55,305.1000000000351
144,53,57,0.457843157551,305.1000000000351
144,53,0,0.0001,305.1000000000351
144,53,0,0.0001,305.35000000003515
176,10,54,305.35000000003515
144,51,58,0.447844291469,305.35000000003515
144,53,0,0.0001,305.5500000000352
176,10,55,305.70000000003523
144,48,64,0.639952879362,305.70000000003523
