177,0,0,33.10000000000026
193,88,33.10000000000026
177,10,77,33.150000000000254
145,79,70,1.27679802378,33.150000000000254
145,64,0,0.0001,33.850000000000215
177,10,57,34.350000000000186
177,10,60,34.75000000000016
145,79,0,0.0001,35.15000000000014
145,74,0,0.0001,35.20000000000014
177,10,68,35.20000000000014
177,10,72,35.600000000000115
145,81,0,0.0001,35.75000000000011
177,10,70,36.00000000000009
145,86,0,0.0001,36.150000000000084
177,10,66,36.500000000000064
145,74,43,1.22561649334,36.500000000000064
145,86,0,0.0001,36.650000000000055
177,10,59,37.10000000000003
145,60,58,1.53897089681,37.10000000000003
145,84,0,0.0001,37.25000000000002
177,10,62,37.65
145,57,74,1.26358922345,37.65
145,74,0,0.0001,38.049999999999976
177,10,63,38.14999999999997
145,55,84,1.07777608437,38.14999999999997
145,60,0,0.0001,38.399999999999956
145,57,0,0.0001,38.749999999999936
177,10,56,38.99999999999992
145,50,109,1.60256584004,38.99999999999992
145,55,0,0.0001,39.799999999999876
177,10,53,39.89999999999987
177,10,62,40.44999999999984
145,57,93,1.09735977106,40.44999999999984
145,50,0,0.0001,40.74999999999982
177,10,69,40.99999999999981
145,60,74,1.19784940107,40.99999999999981
145,52,0,0.0001,40.99999999999981
145,57,0,0.0001,41.64999999999977
177,10,71,41.79999999999976
177,10,62,42.49999999999972
145,57,45,1.47855922615,42.49999999999972
145,60,0,0.0001,42.74999999999971
177,10,70,42.8999999999997
177,10,74,43.24999999999968
145,43,46,0.58091601328,43.24999999999968
145,57,0,0.0001,43.24999999999968
145,57,0,0.0001,43.29999999999968
145,52,0,0.0001,43.499999999999666
177,10,71,43.79999999999965
145,33,58,0.79436909377,43.79999999999965
145,43,0,0.0001,44.049999999999635
177,10,65,44.29999999999962
145,38,75,0.701888593749,44.29999999999962
145,33,0,0.0001,44.549999999999606
177,10,70,44.6999999999996
177,10,75,44.949999999999584
145,38,89,0.401003513656,44.949999999999584
145,38,0,0.0001,44.99999999999958
145,38,0,0.0001,45.14999999999957
177,10,75,45.19999999999957
145,38,95,0.431716308425,45.19999999999957
145,38,0,0.0001,45.39999999999956
177,10,72,45.449999999999555
145,40,104,0.499560169942,45.449999999999555
145,38,0,0.0001,45.69999999999954
177,10,70,45.74999999999954
145,50,113,0.558283408561,45.74999999999954
177,10,67,45.89999999999953
145,52,115,0.303364648967,45.89999999999953
145,40,0,0.0001,46.04999999999952
177,10,66,46.09999999999952
145,60,115,0.317581464703,46.09999999999952
145,50,0,0.0001,46.09999999999952
145,52,0,0.0001,46.24999999999951
177,10,67,46.24999999999951
145,64,114,0.309329111691,46.24999999999951
177,10,67,46.3999999999995
145,60,0,0.0001,46.4499999999995
177,10,67,46.54999999999949
145,64,0,0.0001,46.59999999999949
177,10,68,46.699999999999484
145,72,109,0.283791035689,46.699999999999484
145,69,0,0.0001,46.699999999999484
145,72,0,0.0001,46.849999999999476
177,10,68,46.849999999999476
145,74,108,0.271888198852,46.849999999999476
145,72,0,0.0001,46.99999999999947
177,10,69,46.99999999999947
145,74,105,0.258025467185,46.99999999999947
145,74,0,0.0001,47.14999999999946
177,10,69,47.14999999999946
145,76,103,0.243842148309,47.14999999999946
145,74,0,0.0001,47.24999999999945
177,10,68,47.29999999999945
145,76,0,0.0001,47.399999999999444
177,10,66,47.49999999999944
145,81,93,0.248494949074,47.49999999999944
145,79,0,0.0001,47.549999999999436
177,10,63,47.69999999999943
145,81,0,0.0001,47.749999999999424
177,10,61,47.79999999999942
145,86,83,0.120930731541,47.79999999999942
145,84,0,0.0001,47.84999999999942
177,10,60,47.899999999999416
145,86,0,0.0001,47.94999999999941
177,10,58,47.99999999999941
145,86,77,0.119721514881,47.99999999999941
145,86,0,0.0001,48.04999999999941
177,10,57,48.099999999999405
145,86,73,0.120693374488,48.099999999999405
145,86,0,0.0001,48.1499999999994
177,10,57,48.1999999999994
145,86,0,0.0001,48.249999999999396
177,10,58,48.39999999999939
145,86,0,0.0001,48.449999999999385
177,10,60,48.599999999999376
145,86,56,0.240629142355,48.599999999999376
145,86,0,0.0001,48.64999999999937
177,10,61,48.799999999999365
145,86,49,0.246987531234,48.799999999999365
145,86,0,0.0001,48.84999999999936
177,10,63,48.99999999999935
145,86,40,0.251554374735,48.99999999999935
145,86,0,0.0001,49.09999999999935
177,10,64,49.34999999999933
145,86,0,0.0001,49.54999999999932
177,10,63,49.699999999999314
145,86,0,0.0001,49.8999999999993
177,10,59,49.8999999999993
145,86,38,0.28420763259,49.8999999999993
145,86,0,0.0001,49.9999999999993
177,10,57,50.09999999999929
145,86,0,0.0001,50.199999999999285
177,10,55,50.34999999999928
145,86,49,0.314923526697,50.34999999999928
145,86,0,0.0001,50.44999999999927
177,10,54,50.59999999999926
145,86,56,0.339609861042,50.59999999999926
145,86,0,0.0001,50.69999999999926
177,10,53,51.04999999999924
145,86,0,0.0001,51.34999999999922
177,10,52,51.49999999999921
145,76,66,0.821214106334,51.49999999999921
145,84,0,0.0001,51.89999999999919
177,10,54,51.949999999999186
