176,0,0,7.875
192,108,7.875
176,10,71,8.0625
144,56,49,0.256827133021,8.0625
144,58,0,0.0001,8.0625
144,58,0,0.0001,8.0625
144,58,0,0.0001,8.0625
144,61,0,0.0001,8.0625
144,58,0,0.0001,8.0625
144,68,0,0.0001,8.0625
144,61,0,0.0001,8.0625
144,63,0,0.0001,8.0625
176,10,74,8.0625
144,58,0,0.0001,8.25
144,54,0,0.0001,8.25
144,51,0,0.0001,8.25
176,10,63,8.4375
144,65,31,0.634304514568,8.4375
176,10,63,8.4375
176,10,60,8.4375
144,58,0,0.0001,8.625
144,68,0,0.0001,8.625
176,10,81,8.625
144,70,0,0.0001,8.625
144,58,0,0.0001,8.625
144,56,0,0.0001,8.625
176,10,80,8.625
144,68,0,0.0001,8.625
144,58,0,0.0001,8.625
144,60,0,0.0001,8.625
144,60,0,0.0001,8.8125
144,61,0,0.0001,8.8125
176,10,72,8.8125
144,60,41,0.40150876728,8.8125
176,10,71,9.0
144,61,47,0.495808401221,9.0
176,10,70,9.0
144,63,46,0.5254410601,9.0
144,58,0,0.0001,9.0
144,53,0,0.0001,9.0
176,10,68,9.0
144,65,0,0.0001,9.0
144,65,0,0.0001,9.0
176,10,59,9.1875
144,60,44,0.583452996825,9.1875
144,63,0,0.0001,9.1875
144,51,0,0.0001,9.1875
176,10,57,9.1875
176,10,69,9.1875
144,60,25,1.50104233391,9.1875
176,10,55,9.1875
176,10,88,9.1875
144,65,29,0.415345063603,9.1875
176,10,66,9.1875
144,61,46,0.480754843161,9.1875
144,58,0,0.0001,9.1875
144,53,0,0.0001,9.1875
144,53,0,0.0001,9.1875
176,10,69,9.375
144,63,44,0.416342229622,9.375
144,70,0,0.0001,9.375
144,60,0,0.0001,9.375
144,66,0,0.0001,9.5625
176,10,81,9.5625
144,68,0,0.0001,9.5625
144,61,0,0.0001,9.5625
176,10,78,9.5625
176,10,77,9.75
144,56,42,0.694097874803,9.75
144,65,0,0.0001,9.75
144,63,0,0.0001,9.75
176,10,81,9.75
144,60,0,0.0001,9.75
144,65,0,0.0001,9.9375
144,60,0,0.0001,9.9375
176,10,85,9.9375
144,58,43,0.419212461713,9.9375
176,10,45,10.125
144,63,42,0.854156846186,10.125
176,10,44,10.125
144,58,0,0.0001,10.125
144,58,0,0.0001,10.125
144,56,0,0.0001,10.125
176,10,88,10.125
144,53,0,0.0001,10.125
176,10,85,10.125
144,56,0,0.0001,10.3125
144,56,0,0.0001,10.3125
176,10,67,10.3125
144,63,36,0.984129576578,10.3125
176,10,86,10.3125
144,56,40,0.391195119957,10.3125
144,53,0,0.0001,10.3125
176,10,66,10.3125
144,63,28,1.06160809146,10.3125
144,58,0,0.0001,10.5
144,66,0,0.0001,10.5
176,10,56,10.5
176,10,61,10.5
144,66,0,0.0001,10.5
144,61,0,0.0001,10.6875
176,10,88,10.6875
144,54,38,0.583646996895,10.6875
144,63,0,0.0001,10.6875
176,10,85,10.6875
144,51,0,0.0001,10.875
144,54,0,0.0001,10.875
144,56,0,0.0001,10.875
144,56,0,0.0001,10.875
176,10,85,10.875
144,54,36,0.886252326726,10.875
144,60,0,0.0001,11.0625
144,56,0,0.0001,11.0625
144,54,0,0.0001,11.0625
144,48,0,0.0001,11.0625
144,63,0,0.0001,11.25
144,56,0,0.0001,11.25
144,61,0,0.0001,11.4375
176,10,85,11.4375
144,61,0,0.0001,11.4375
144,63,0,0.0001,11.625
176,10,83,11.625
144,54,36,0.986681012168,11.625
176,10,57,11.625
144,66,52,1.41545586651,11.625
176,10,57,11.625
144,68,45,1.48917387787,11.625
144,54,0,0.0001,11.625
176,10,77,11.625
144,56,0,0.0001,11.8125
144,63,0,0.0001,11.8125
144,60,0,0.0001,11.8125
144,51,0,0.0001,11.8125
144,63,0,0.0001,11.8125
144,51,0,0.0001,12.0
176,10,80,12.0
144,51,37,1.30802500136,12.0
144,56,0,0.0001,12.0
176,10,47,12.0
144,56,36,1.90691067698,12.0
144,65,0,0.0001,12.1875
144,56,0,0.0001,12.1875
144,54,0,0.0001,12.1875
176,10,51,12.375
176,10,51,12.375
144,70,67,0.866534694579,12.375
176,10,54,12.375
144,58,73,0.335549621318,12.375
144,66,0,0.0001,12.375
144,63,0,0.0001,12.375
144,54,0,0.0001,12.375
176,10,72,12.375
144,53,42,0.97717721086,12.375
144,61,0,0.0001,12.5625
144,66,0,0.0001,12.5625
144,68,0,0.0001,12.5625
144,58,0,0.0001,12.5625
144,68,0,0.0001,12.75
176,10,77,12.75
144,53,43,1.48916523857,12.75
144,54,0,0.0001,12.75
144,72,0,0.0001,12.75
176,10,42,12.9375
144,70,76,0.551796161372,12.9375
144,65,0,0.0001,12.9375
144,72,0,0.0001,12.9375
144,70,0,0.0001,12.9375
144,53,0,0.0001,12.9375
144,72,0,0.0001,12.9375
144,54,0,0.0001,13.125
176,10,63,13.125
144,58,0,0.0001,13.3125
176,10,59,13.3125
144,61,0,0.0001,13.5
144,51,0,0.0001,13.5
144,61,0,0.0001,13.5
144,72,0,0.0001,13.6875
144,56,0,0.0001,13.6875
144,70,0,0.0001,13.6875
144,60,0,0.0001,13.6875
144,60,0,0.0001,13.6875
144,53,0,0.0001,14.0625
176,10,47,14.25
176,10,43,14.625
144,63,65,2.02600758124,14.625
144,54,0,0.0001,14.625
144,68,0,0.0001,14.625
144,68,0,0.0001,14.625
144,70,0,0.0001,14.625
144,53,0,0.0001,14.625
144,72,0,0.0001,14.8125
144,72,0,0.0001,15.0
144,63,0,0.0001,15.0
144,54,0,0.0001,15.0
176,10,51,15.1875
144,53,0,0.0001,15.1875
144,72,0,0.0001,15.375
144,66,0,0.0001,15.375
144,56,0,0.0001,15.5625
144,61,0,0.0001,15.5625
176,10,60,15.5625
144,54,0,0.0001,15.5625
144,61,0,0.0001,15.75
144,63,0,0.0001,15.9375
144,56,0,0.0001,15.9375
176,10,73,15.9375
144,65,28,1.01756057301,15.9375
144,63,0,0.0001,15.9375
144,61,0,0.0001,15.9375
144,60,0,0.0001,16.125
144,58,0,0.0001,16.125
176,10,69,16.125
144,70,0,0.0001,16.125
144,51,0,0.0001,16.125
144,68,0,0.0001,16.3125
144,70,0,0.0001,16.3125
144,61,0,0.0001,16.3125
144,66,0,0.0001,16.5
144,68,0,0.0001,16.5
144,61,0,0.0001,16.5
176,10,57,16.6875
176,10,55,16.6875
144,66,44,0.902295498926,16.6875
176,10,79,16.6875
144,63,0,0.0001,16.6875
176,10,36,16.6875
144,54,73,2.87632348428,16.6875
176,10,53,16.875
144,61,0,0.0001,16.875
144,65,0,0.0001,16.875
176,10,42,16.875
144,54,88,2.58326620733,16.875
144,63,0,0.0001,16.875
176,10,71,16.875
144,66,39,2.11442807852,16.875
144,60,0,0.0001,17.0625
176,10,62,17.0625
144,61,0,0.0001,17.0625
144,65,0,0.0001,17.0625
144,56,0,0.0001,17.0625
176,10,70,17.25
144,54,96,0.652966604247,17.25
176,10,68,17.25
144,68,41,0.766543243462,17.25
144,61,0,0.0001,17.25
176,10,63,17.25
176,10,66,17.25
176,10,68,17.4375
144,65,43,0.770298060789,17.4375
144,61,0,0.0001,17.4375
144,65,0,0.0001,17.4375
176,10,66,17.4375
144,54,104,0.80796662368,17.4375
144,54,0,0.0001,17.4375
176,10,78,17.4375
144,65,46,0.539956747139,17.4375
144,61,0,0.0001,17.4375
176,10,78,17.4375
144,66,41,1.05557619394,17.4375
144,66,0,0.0001,17.625
144,63,0,0.0001,17.625
176,10,80,17.625
144,65,41,0.475940800765,17.625
144,66,0,0.0001,17.625
176,10,80,17.625
144,65,41,0.466306679337,17.625
176,10,79,17.625
144,65,47,0.484714291078,17.625
144,54,0,0.0001,17.625
144,66,0,0.0001,17.625
176,10,85,17.625
144,63,46,0.325436175654,17.625
176,10,84,17.625
144,66,47,0.709814722218,17.625
144,65,0,0.0001,17.8125
144,65,0,0.0001,17.8125
176,10,80,17.8125
144,61,42,0.44582353866,17.8125
144,54,0,0.0001,17.8125
144,63,0,0.0001,17.8125
144,68,0,0.0001,17.8125
144,68,0,0.0001,17.8125
176,10,87,17.8125
144,63,40,0.553398983652,17.8125
144,68,0,0.0001,17.8125
144,68,0,0.0001,17.8125
176,10,88,17.8125
144,61,45,0.226473333187,17.8125
144,65,0,0.0001,17.8125
144,63,0,0.0001,17.8125
176,10,86,17.8125
176,10,86,17.8125
144,63,41,0.305259899516,17.8125
144,66,0,0.0001,17.8125
176,10,85,17.8125
144,63,47,0.306634468951,17.8125
144,63,0,0.0001,18.0
176,10,89,18.0
144,61,0,0.0001,18.0
144,65,0,0.0001,18.0
144,65,0,0.0001,18.0
176,10,90,18.0
144,60,44,0.167379124879,18.0
144,65,0,0.0001,18.0
144,65,0,0.0001,18.0
144,66,0,0.0001,18.0
144,65,0,0.0001,18.0
176,10,88,18.0
176,10,87,18.0
176,10,87,18.0
144,61,46,0.252153637731,18.0
144,68,0,0.0001,18.0
176,10,85,18.0
144,61,0,0.0001,18.0
144,66,0,0.0001,18.0
176,10,90,18.1875
144,56,40,0.365192921233,18.1875
144,63,0,0.0001,18.1875
144,66,0,0.0001,18.1875
144,63,0,0.0001,18.1875
144,63,0,0.0001,18.1875
176,10,91,18.1875
144,56,44,0.143006703641,18.1875
144,58,0,0.0001,18.1875
144,61,0,0.0001,18.1875
176,10,88,18.1875
176,10,88,18.1875
144,58,41,0.245129751774,18.1875
144,60,0,0.0001,18.1875
176,10,86,18.1875
144,56,41,0.274643152349,18.1875
144,63,0,0.0001,18.1875
176,10,90,18.1875
144,61,0,0.0001,18.375
144,61,0,0.0001,18.375
176,10,88,18.375
144,56,40,0.453224378128,18.375
176,10,91,18.375
144,54,46,0.144870648825,18.375
144,58,0,0.0001,18.375
176,10,88,18.375
144,54,47,0.237085205181,18.375
144,54,0,0.0001,18.375
144,56,0,0.0001,18.375
144,61,0,0.0001,18.375
176,10,90,18.5625
176,10,90,18.5625
144,58,0,0.0001,18.5625
144,61,0,0.0001,18.5625
176,10,87,18.5625
144,54,45,0.506959964926,18.5625
176,10,48,18.5625
144,60,86,4.10589618385,18.5625
176,10,86,18.5625
144,51,44,0.545714766895,18.5625
176,10,87,18.5625
144,53,50,0.260286559161,18.5625
144,60,0,0.0001,18.5625
144,56,0,0.0001,18.5625
176,10,90,18.5625
144,53,47,0.331013410162,18.5625
144,54,0,0.0001,18.75
176,10,87,18.75
144,53,45,0.503957548901,18.75
176,10,55,18.75
144,58,0,0.0001,18.75
144,54,0,0.0001,18.75
144,56,0,0.0001,18.75
176,10,90,18.9375
176,10,88,18.9375
144,51,47,0.435037597458,18.9375
176,10,56,18.9375
144,54,55,1.70199646772,18.9375
176,10,88,18.9375
144,53,55,0.485689043829,18.9375
144,56,0,0.0001,18.9375
176,10,86,18.9375
144,53,55,0.576236498535,18.9375
176,10,85,18.9375
144,53,48,0.618602469261,18.9375
144,53,0,0.0001,18.9375
176,10,84,18.9375
176,10,82,19.125
144,54,105,0.777566538678,19.125
144,51,0,0.0001,19.125
144,53,0,0.0001,19.125
176,10,85,19.125
144,53,0,0.0001,19.3125
144,58,0,0.0001,19.3125
144,54,0,0.0001,19.3125
176,10,88,19.3125
176,10,87,19.3125
144,51,0,0.0001,19.3125
176,10,86,19.3125
176,10,84,19.3125
176,10,84,19.3125
144,51,53,0.700477105221,19.3125
144,58,0,0.0001,19.5
176,10,83,19.5
144,49,56,0.728983485276,19.5
144,60,0,0.0001,19.5
144,53,0,0.0001,19.5
176,10,50,19.5
144,51,0,0.0001,19.5
176,10,80,19.5
144,51,63,0.937589439464,19.5
144,51,0,0.0001,19.5
144,54,0,0.0001,19.5
176,10,84,19.5
144,53,0,0.0001,19.6875
