178,0,0,126.74999999999494
194,56,126.74999999999494
146,75,0,0.0001,127.4499999999949
178,10,35,127.4499999999949
146,79,42,1.0,127.4499999999949
146,79,0,0.0001,128.1999999999949
178,10,47,128.1999999999949
146,77,66,0.75,128.1999999999949
146,77,0,0.0001,128.94999999999507
178,10,55,128.94999999999507
146,72,82,0.75,128.94999999999507
146,72,0,0.0001,129.69999999999524
178,10,62,129.69999999999524
146,65,92,0.75,129.69999999999524
146,65,0,0.0001,130.4499999999954
178,10,72,130.4499999999954
146,77,103,0.75,130.4499999999954
146,77,0,0.0001,130.94999999999553
178,10,86,130.94999999999553
146,79,89,0.5,130.94999999999553
146,79,0,0.0001,131.44999999999564
178,10,79,131.44999999999564
146,75,72,0.5,131.44999999999564
146,75,0,0.0001,132.1999999999958
178,10,72,132.1999999999958
146,75,46,0.75,132.1999999999958
146,75,0,0.0001,132.69999999999592
178,10,62,132.69999999999592
146,72,43,0.5,132.69999999999592
146,72,0,0.0001,133.19999999999604
178,10,57,133.19999999999604
146,63,26,0.5,133.19999999999604
146,63,0,0.0001,133.9499999999962
178,10,49,133.9499999999962
146,70,10,0.75,133.9499999999962
146,70,0,0.0001,134.69999999999638
178,10,50,134.69999999999638
146,75,25,0.75,134.69999999999638
146,75,0,0.0001,135.44999999999655
178,10,53,135.44999999999655
146,75,45,0.75,135.44999999999655
146,75,0,0.0001,136.19999999999672
178,10,56,136.19999999999672
146,72,42,0.75,136.19999999999672
146,72,0,0.0001,136.9499999999969
178,10,54,136.9499999999969
146,63,36,0.75,136.9499999999969
146,63,0,0.0001,137.69999999999706
178,10,37,137.69999999999706
146,43,40,0.75,137.69999999999706
146,43,0,0.0001,138.19999999999717
178,10,40,138.19999999999717
146,39,70,0.5,138.19999999999717
146,39,0,0.0001,138.94999999999735
178,10,55,138.94999999999735
146,46,100,0.75,138.94999999999735
146,46,0,0.0001,139.69999999999752
178,10,77,139.69999999999752
146,60,108,0.75,139.69999999999752
146,60,0,0.0001,140.19999999999763
178,10,91,140.19999999999763
146,67,110,0.5,140.19999999999763
146,67,0,0.0001,140.59999999999772
178,10,86,140.59999999999772
146,67,103,0.375,140.59999999999772
146,67,0,0.0001,140.9999999999978
178,10,81,140.9999999999978
146,65,98,0.375,140.9999999999978
146,65,0,0.0001,141.24999999999787
178,10,78,141.24999999999787
146,63,93,0.25,141.24999999999787
146,63,0,0.0001,141.3999999999979
178,10,77,141.3999999999979
146,63,88,0.125,141.3999999999979
146,63,0,0.0001,141.54999999999794
178,10,77,141.54999999999794
146,60,81,0.125,141.54999999999794
